MonthDay;Hour of day;Consumption;Rate
12/2;5;0.31;Off-peak
12/2;6;0.29;Off-peak
12/2;7;0.28;Off-peak
12/2;8;0.36;On-peak
12/2;9;0.33;On-peak
12/2;10;0.44;On-peak
12/2;11;0.42;On-peak
12/2;12;0.67;Mid-peak
12/2;13;0.43;Mid-peak
12/2;14;0.52;Mid-peak
12/2;15;0.35;Mid-peak
12/2;16;0.45;Mid-peak
12/2;17;0.38;Mid-peak
12/2;18;0.32;On-peak
12/2;19;0.3;On-peak
12/2;20;0.36;Off-peak
12/2;21;0.33;Off-peak
12/2;22;0.46;Off-peak
12/2;23;0.36;Off-peak
12/3;0;0.37;Off-peak
12/3;1;0.31;Off-peak
12/3;2;0.28;Off-peak
12/3;3;0.3;Off-peak
12/3;4;0.33;Off-peak
12/3;5;0.32;Off-peak
12/3;6;0.3;Off-peak
12/3;7;0.31;Off-peak
12/3;8;0.29;Off-peak
12/3;9;0.39;Off-peak
12/3;10;0.38;Off-peak
12/3;11;0.34;Off-peak
12/3;12;0.34;Off-peak
12/3;13;0.32;Off-peak
12/3;14;0.3;Off-peak
12/3;15;0.28;Off-peak
12/3;16;0.26;Off-peak
12/3;17;0.3;Off-peak
12/3;18;0.26;Off-peak
12/3;19;0.38;Off-peak
12/3;20;0.35;Off-peak
12/3;21;0.46;Off-peak
12/3;22;0.44;Off-peak
12/3;23;0.4;Off-peak
12/4;0;0.41;Off-peak
12/4;1;0.33;Off-peak
12/4;2;0.29;Off-peak
12/4;3;0.27;Off-peak
12/4;4;0.3;Off-peak
12/4;5;0.31;Off-peak
12/4;6;0.28;Off-peak
12/4;7;0.28;Off-peak
12/4;8;0.26;Off-peak
12/4;9;0.38;Off-peak
12/4;10;0.37;Off-peak
12/4;11;0.32;Off-peak
12/4;12;0.29;Off-peak
12/4;13;0.32;Off-peak
12/4;14;0.35;Off-peak
12/4;15;0.3;Off-peak
12/4;16;0.34;Off-peak
12/4;17;2;Off-peak
12/4;18;4.79;Off-peak
12/4;19;0.62;Off-peak
12/4;20;2.15;Off-peak
12/4;21;1.51;Off-peak
12/4;22;3.05;Off-peak
